Proxy Server IPQS Test Results - Wed Mar 12 05:56:32 UTC 2025
----------------------------------------------
Server: 5eba8cd0e9e6fccc4dd2433e7a16b0b6.node.tro.node-is.green      IP: 18.162.187.85   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 9929c672708a51eec1069696caa945d8.node.tro.node-is.green      IP: 18.163.194.44   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: d90dc489460b44d3380562fda94dc14b.node.tro.node-is.green      IP: 43.198.205.144  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 08c428263898a040484772faa09f41e3.node.tro.node-is.green      IP: 18.162.187.85   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 38715d22fc10783767d0a395545950cf.node.tro.node-is.green      IP: 43.199.158.181  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 3c8221fa469809d3db134b64eb662989.node.tro.node-is.green      IP: 18.163.194.44   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 7ed3d2a950a823c344031030703e82f0.node.tro.node-is.green      IP: 18.166.223.237  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 1f7fca825c1df62cdc860027dc791154.node.tro.node-is.green      IP: 43.198.205.144  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 509d4089168db08bda55be7aa5b59c41.node.tro.node-is.green      IP: 43.198.205.144  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: a7a6810b16a0d8af0d809df04ed1b5fd.node.tro.node-is.green      IP: 18.166.223.237  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 47f4c4ead7dd1d68797677427c9181f1.node.tro.node-is.green      IP: 18.162.187.85   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 36fb551009c983bdad7ad934d18de4da.node.tro.node-is.green      IP: 43.198.199.132  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 74487aec540d8d3e604ec41e00025e85.node.tro.node-is.green      IP: 18.163.194.44   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 3564c5d34ab3f374c684c27a9887b575.node.tro.node-is.green      IP: 43.198.101.107  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 9460fbd711873066c1c3e4c6c94e193a.node.tro.node-is.green      IP: 43.198.199.132  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: b4152528c8f4ad7f554efcfd408fc91c.node.tro.node-is.green      IP: 43.198.101.107  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 4b8b5242711645d669a65383a787d94c.node.tro.node-is.green      IP: 43.199.158.181  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: c2777732cefd32a526ba792b333c4cd5.node.tro.node-is.green      IP: 43.199.158.181  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 9c89b5ec2a69ae61833be56d92bfe67c.node.tro.node-is.green      IP: 43.198.101.107  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: ec30bf708fcbad82996e9bbcfc70fa9a.node.tro.node-is.green      IP: 43.198.248.163  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 2b3d2196384d49da0adb50c7dc47f70f.node.tro.node-is.green      IP: 18.162.46.235   Score: 100 - Hong Kong, Hong Kong, HK [BAD]
Server: 577483369b414e8dd6dc660179132445.node.tro.node-is.green      IP: 18.162.46.235   Score: 100 - Hong Kong, Hong Kong, HK [BAD]
Server: 75230ccf0fcc7db191bd4d37c4af1363.node.tro.node-is.green      IP: 18.162.46.235   Score: 100 - Hong Kong, Hong Kong, HK [BAD]
Server: b08e80903376f8a35686e3c8d5fe9cef.node.tro.node-is.green      IP: 18.163.194.44   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: bf49af63198541636a6c7f8bb489ffda.node.tro.node-is.green      IP: 18.163.194.44   Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: 689ebcbe166b3411f7003a0c7fb4d16a.node.tro.node-is.green      IP: 43.198.101.107  Score:  75 - Hong Kong, Hong Kong, HK [MEDIUM]
Server: cc.rk1.node-is.green                                         IP: 111.47.244.9    Score:   0 - Huanggang, Hubei, CN [GOOD]
Server: a.naiun.node-is.green                                        IP: 141.11.130.39   Score:  75 - Tokyo, Tokyo, JP [MEDIUM]
Server: b.naiun.node-is.green                                        IP: 141.11.130.39   Score:  75 - Tokyo, Tokyo, JP [MEDIUM]
Server: c.naiun.node-is.green                                        IP: 141.11.130.39   Score:  75 - Tokyo, Tokyo, JP [MEDIUM]
